laboratorio,grupo,problema,cluster_problema_manual,clean_problema,cluster_causa_manual,causa,clean_causa,consecuencia,clean_consecuencia,region
lab fri 1,fondequip mediano,proceso evaluación postulación toma diferencias equipamiento terrenos laboratorios,evaluacion-anid realidad-territorial, evaluación-administrativa anid propuesta diferencia equipamiento-científico terrenos laboratorios,evaluacion-anid realidad-territorial, programa diferencias instalacion quipamiento laboratorios terreno zonas alto riesgo zonas extremas aislamiento-austral, instrumento diferencias instalacion equipamiento-científico laboratorios terreno zonas-alto-riesgo zonas-extremas aislamiento-austral,"tema seguros aseguradoras aseguran equipamiento ""terreno"" zonas riesgosas","tema seguros aseguradoras aseguran equipamiento-científico ""terreno"" zonas-alto-riesgo",0
lab fri 1,fondequip mediano,proceso evaluación postulación toma diferencias equipamiento terrenos laboratorios,evaluacion-anid realidad-territorial, evaluación-administrativa anid propuesta diferencia equipamiento-científico terrenos laboratorios,evaluacion-anid realidad-territorial, programa diferencias instalacion quipamiento laboratorios terreno zonas alto riesgo zonas extremas aislamiento-austral, programa diferencias instalacion quipamiento laboratorios terreno zonas-alto-riesgo zonas-extremas aislamiento-austral, buscar alternativas necesariamente apropiadas, buscar alternativas necesariamente apropiadas,0
lab rif 1,fondecyt iniciación, tramites proyecto dificil burocratico,gestion-administrativa anid, gestión-administrativa anid burocrática,gestion-administrativa anid,plataformas digitales operan adecuadamente,plataformas digitales operan adecuadamente,dificultades trámites migratorios,dificultades trámites migratorios,0
lab rif 1,fondecyt iniciación, tramites proyecto dificil burocratico,gestion-administrativa anid, gestión-administrativa anid burocrática,gestion-administrativa anid,funcionarios contestan correos,funcionarios contestan correos,dificultades trámites migratorios,dificultades trámites migratorios,0
lab rif 1,fondef idea,insuficiente obtener apoyo instituciones,gestion-administrativa realidad-territorial,insuficiente gestión-administrativa apoyo-instituciones macrozona-austral,gestion-administrativa realidad-territorial, tiempos obtener firmas representantes legales ajustan cierre fecha postulación, tiempos obtener firmas representantes legales ajustan cierre fecha postulación, proyectos presentan apoyo instituciones resta competitividad, proyectos presentan apoyo instituciones resta competitividad,0
lab rif 1,fondef idea, incentivos deficientes justificar traslado doctores fondecyt postdoctorados zonas extremas,financiamiento capital-humano,insuficiente financiamiento investigadores-principales macrozona-austral,capital-humano, temas específicos reduce disponibilidad profesionales especialistas, temas específicos reduce disponibilidad profesionales-de-la-investigación especialistas,proyectos investigadores capacidad menor productividad asociada cantidad profesionales especialistas temas investigación,proyectos investigadores capacidad menor productividad asociada cantidad investigadores especialistas temas investigación,1
lab fri 1,fondecyt iniciación, zona extrema mayoria casos proveedores servicios productos,gestion-administrativa realidad-territorial,insuficiente gestión-proyectos compras macrozona-austral proveedores-locales insuficiente,costo-operacional, genera gastos extra enví/aduana extra considerado,aumenta costos operacionales enví aduana tiempo-extra,rechazos gastos anid,rechazos gastos anid,1
lab fri 1,fondecyt iniciación, zona extrema mayoria casos proveedores servicios productos,gestion-administrativa realidad-territorial,insuficiente gestión-proyectos compras macrozona-austral proveedores-locales insuficiente,costo-operacional, regiones extremas proveedores servicios usualmente costos altos, macrozona-austral proveedores servicios costos operacionales mayores, dilatan tiempos obtención resultados pago final redacción informes, dilatan tiempos obtención resultados pago final redacción informes,1
lab rpp 1,fondecyt postdoc,reiteradas revisión audítoria,gestion-administrativa anid, evaluación-administrativa anid deficiente reitera revisiones auditoria macrozona-austral,gestion-administrativa anid, incorporan observaciones revisión envían observaciones,anid incorporan observaciones revisión auditorías envían observaciones,retraso ejecución proyectos,retraso ejecución proyectos,1
lab rpp 1,fondecyt postdoc,reiteradas revisión audítoria,gestion-administrativa anid, evaluación-administrativa anid deficiente reitera revisiones auditoria macrozona-austral,gestion-administrativa anid,operar proyecto región extrema lento retraso afecta ,operar proyectos macrozona-austral lento retraso impacto,retraso ejecución proyectos,retraso ejecución proyectos,1
lab rpp 1,fondecyt regular,restricciones arbitrarias fondos anuales viajes internacionales,colaboracion-internacional, colaboracion-internacional sostener proyecto,gestion-administrativa anid,cambios/restricciones anid desconocidos,cambios restricciones anid desconocidos,limita perjudicada redes internacionales servido cerrar brechas regionales traves colaboracion capital humano (escaso region) disponibilidad equipamiento infraestructura ausente region,limita perjudica colaboración-internacional servido cerrar brechas macrozona-austral traves colaboracion capital-humano falta equipamiento-científico falta infraestructura,1
lab fri 1,fondecyt regular, consideran realidades locales específicas postulación instrumento,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral,asimetrias-proyectos,instrumentos homogéneos aplican país territorio heterogéneo,instrumentos anid homogéneos aplican país territorio heterogéneo,proyectos rechazados evaluación transversal curriculum investigadores equipo vs investigadores equipos trabajos,proyectos rechazados evaluación transversal curriculum investigadores equipos-investigación versus investigadores equipos-investigación,1
lab rpp 1,pai sia,falta pertinencia regional apoyo financiero,gestion-administrativa realidad-territorial, gestión-administrativa anid realidad-territorial macrozona-austral,gestion-administrativa realidad-territorial, evaluación realidades regionales importantes encargado omite entrega apropiado, evaluación-anid no-reconoce brechas macrozona-austral entrega apropiado,rechazos frecuentes imposibilidad gastos desarrollo proyecto macrozona-austral,rechazos frecuentes imposibilidad gastos desarrollo proyectos macrozona-austral,1
